batch_id,copy_time_us,kernel_time_us
1320,17.632,18.432
1321,18.08,17.28
1322,17.024,18.464
1323,18.432,17.12
1324,17.184,18.432
1325,18.304,17.152
1326,17.6,17.408
1327,17.632,18.4
1328,17.856,17.376
1329,17.696,18.432
1330,17.28,18.432
1331,17.728,18.432
1332,18.56,17.088
1333,17.504,18.432
1334,17.216,18.4
1335,18.144,17.088
1336,17.12,18.432
1337,17.696,18.432
1338,17.76,18.432
1339,17.728,18.432
1340,17.824,17.408
1341,17.664,18.432
1342,18.592,17.056
1343,17.6,18.4
1344,17.184,18.432
1345,17.728,18.4
1346,18.112,17.12
1347,18.4,17.088
1348,17.312,18.464
